OTU	Size	Taxonomy	taxname	phylum	family
Otu0925	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0925_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0926	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);	Otu0926_Terrisporobacter	Firmicutes	Terrisporobacter
Otu0927	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0927_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0928	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0928_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0929	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0929_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0930	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu0930_Clostridiales_unclassified	Firmicutes	Clostridiales_unclassified
Otu0931	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0931_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0932	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0932_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0933	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu0933_Bacteroides	Bacteroidetes	Bacteroides
Otu0934	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(78);	Otu0934_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0935	17	Bacteria(100);Verrucomicrobia(100);Verrucomicrobia_unclassified(100);Verrucomicrobia_unclassified(100);Verrucomicrobia_unclassified(100);Verrucomicrobia_unclassified(100);	Otu0935_Verrucomicrobia_unclassified	Verrucomicrobia	Verrucomicrobia_unclassified
Otu0936	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(71);	Otu0936_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0937	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0937_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0938	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(95);Lachnospiraceae_unclassified(95);	Otu0938_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0939	17	Bacteria(100);Verrucomicrobia(100);Verrucomicrobia_unclassified(100);Verrucomicrobia_unclassified(100);Verrucomicrobia_unclassified(100);Verrucomicrobia_unclassified(100);	Otu0939_Verrucomicrobia_unclassified	Verrucomicrobia	Verrucomicrobia_unclassified
Otu0940	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(89);Clostridiales_unclassified(89);	Otu0940_Clostridiales_unclassified	Firmicutes	Clostridiales_unclassified
Otu0941	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-008(59);	Otu0941_Ruminococcaceae_UCG-008	Firmicutes	Ruminococcaceae_UCG-008
Otu0942	17	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(83);Bacteroidales_unclassified(83);	Otu0942_Bacteroidales_unclassified	Bacteroidetes	Bacteroidales_unclassified
Otu0943	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0943_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0944	17	Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Verrucomicrobiaceae_unclassified(77);	Otu0944_Verrucomicrobiaceae_unclassified	Verrucomicrobia	Verrucomicrobiaceae_unclassified
Otu0945	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_ge(53);	Otu0945_Lachnospiraceae_ge	Firmicutes	Lachnospiraceae_ge
Otu0946	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_UCG-006(100);	Otu0946_Lachnospiraceae_UCG-006	Firmicutes	Lachnospiraceae_UCG-006
Otu0947	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu0947_Clostridiales_unclassified	Firmicutes	Clostridiales_unclassified
Otu0948	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0948_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0949	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0949_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0950	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0950_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0951	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0951_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0952	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0952_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0953	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(95);	Otu0953_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0954	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(89);	Otu0954_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0955	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0955_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0956	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(83);	Otu0956_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0957	17	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(65);	Otu0957_Fusicatenibacter	Firmicutes	Fusicatenibacter
Otu0958	17	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0958_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0959	17	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(71);Bacteroidales_S24-7_group_ge(71);	Otu0959_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0960	17	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0960_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0961	17	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0961_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0962	17	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(65);Bacteroidales_unclassified(65);	Otu0962_Bacteroidales_unclassified	Bacteroidetes	Bacteroidales_unclassified
Otu0963	17	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0963_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
