"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"89"	"Otu0181"	2.4646	"n12"	2.07709	-2.07709	0.0366275	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"90"	"Otu0183"	3.07712	"n12"	2.74035	-2.74035	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"91"	"Otu0184"	2.43869	"n12"	2.11641	-2.11641	0.011164	"Firmicutes"	"Other"	"Family_XIII_unclassified"
"92"	"Otu0185"	2.72344	"n12"	2.36261	-2.36261	0.011164	"Firmicutes"	"Other"	"uncultured"
"93"	"Otu0186"	2.32339	"n12"	2.07967	-2.07967	0.00282232	"Verrucomicrobia"	"Verrucomicrobiaceae_unclassified"	"Verrucomicrobiaceae_unclassified"
"94"	"Otu0189"	2.38775	"n12"	2.07325	-2.07325	0.011164	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"95"	"Otu0191"	2.88976	"n12"	2.5626	-2.5626	0.0220436	"Actinobacteria"	"Eggerthella"	"Eggerthella"
"96"	"Otu0193"	2.81032	"n12"	2.40199	-2.40199	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"97"	"Otu0194"	2.47366	"n12"	2.13449	-2.13449	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"98"	"Otu0195"	2.54468	"n12"	2.27521	-2.27521	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_UCG-006"
"99"	"Otu0197"	2.60004	"n12"	2.25382	-2.25382	0.011164	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"100"	"Otu0199"	2.39717	"n12"	2.06021	-2.06021	0.011164	"Firmicutes"	"Syntrophococcus"	"Syntrophococcus"
"101"	"Otu0204"	2.47294	"n12"	2.15346	-2.15346	0.011164	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"102"	"Otu0208"	2.46498	"n12"	2.09373	-2.09373	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"103"	"Otu0209"	2.49143	"n12"	2.17536	-2.17536	0.0220436	"Firmicutes"	"Clostridiales_unclassified"	"Clostridiales_unclassified"
